User ID,Age,Gender,Location,Phone Brand,OS,Screen Time (hrs/day),Data Usage (GB/month),Calls Duration (mins/day),Number of Apps Installed,Social Media Time (hrs/day),E-commerce Spend (INR/month),Streaming Time (hrs/day),Gaming Time (hrs/day),Monthly Recharge Cost (INR),Primary Use,Age_Group,Addiction_Score,Health_Risk,Screen_Social_Ratio,Usage_Intensity,Entertainment_Score,Cluster,Recommendation
0,53,1,8,8,0,3.7,23.9,37.9,104,3.9,469,5.2,4.1,803,0,Senior,4.075,2,0.7551020408163265,5.085106382978723,9.3,1,Reduce binge watching.
1,60,2,3,6,1,9.2,28.1,13.7,169,2.8,4997,5.1,0.4,1526,2,Senior,4.784999999999999,2,2.4210526315789473,2.754901960784314,5.5,0,Reduce screen time and take breaks.
2,37,0,0,3,0,4.5,12.3,66.8,96,3.0,2381,1.7,2.9,1619,1,Middle Age,3.3049999999999997,1,1.125,2.2363636363636363,4.6,3,Healthy mobile usage pattern.
3,32,1,9,7,0,11.0,25.6,156.2,146,5.2,1185,3.2,0.3,1560,1,Adult,5.705,2,1.7741935483870968,2.1333333333333333,3.5,4,Reduce screen time and take breaks.
4,16,1,8,9,1,2.2,2.5,236.2,86,5.5,106,3.4,2.3,742,3,Teen,3.2299999999999995,1,0.3384615384615385,0.78125,5.699999999999999,3,Use social media timer apps.
5,21,1,5,5,1,5.4,10.6,210.6,25,4.2,6285,0.6,4.8,1749,1,Young Adult,4.2299999999999995,2,1.0384615384615385,1.6562499999999998,5.3999999999999995,2,Healthy mobile usage pattern.
6,57,0,7,0,1,6.0,35.2,154.5,123,0.8,2653,2.9,2.3,1073,3,Senior,3.31,1,3.333333333333333,5.028571428571429,5.199999999999999,2,Healthy mobile usage pattern.
7,56,2,6,6,1,3.1,43.5,125.3,188,2.3,9767,5.2,5.0,1136,1,Senior,3.6900000000000004,1,0.9393939393939394,10.609756097560977,10.2,1,Reduce binge watching.
8,46,0,6,5,0,5.3,46.4,21.3,194,3.7,2870,6.1,2.8,1253,1,Middle Age,4.395,2,1.127659574468085,7.365079365079365,8.899999999999999,1,Reduce binge watching.
9,44,2,6,0,1,9.9,10.6,180.2,84,4.8,9193,7.6,0.4,168,0,Middle Age,5.904999999999999,2,1.7068965517241381,0.9724770642201834,8.0,0,Reduce screen time and take breaks.
10,55,2,7,3,0,1.6,23.7,192.0,27,3.1,9330,1.2,2.3,1098,4,Senior,2.09,1,0.39024390243902446,9.115384615384615,3.5,3,Healthy mobile usage pattern.
